"Rajya	DISTRICT	BRANCH	ADDRESS	CENTRE	IFSC	CONTACT1	CONTACT2	CONTACT3	MICR_CODE",,,,,,,,,
"MADHYA PRADESH	BHOPAL	Bhopalganj Bhilwara	Bhopalganj Bhilwara	BHOPAL	SBBJ0010094	Bhilwara	M.K. Lohia (Tel No. 01482-226470  Fax No.01482-239201		",,,,,,,,,
"MADHYA PRADESH	GWALIOR	GWALIOR	""31/608  DAULAT GANJ"," GWALIOR -474009""	GWALIOR	SBBJ0010478	""V K VIJAYVARGIA","  0751-2436429""	0751-2320636		",,,,,,,
"MADHYA PRADESH	INDORE	INDORE	""6. KANTI MANSION", MURAI MOHALLA,  KEBA COMPOUND," INDORE-452001""	INDORE	SBBJ0010359	""V P SHAKADWIPEE","  0731-2703719""	0731-2705250		",,,,,
"MADHYA PRADESH	NEEMUCH	NEEMUCH	""DIAMOND HALL", VEER PARK ROAD," NEEMUCH-458441""	NEEMUCH	SBBJ0010858	""B B SHUKLA","  07423-220435""			",,,,,,
"MADHYA PRADESH	PANNA	PANNA	""MAHENDRA BHAWAN"," PANNA.-488001""	PANNA	SBBJ0010285	""RANBIR BAHADUR","  07732-252025""			",,,,,,,
"MADHYA PRADESH	RATLAM	RATLAM	""STATION ROAD"," RATLAM.-457001""	RATLAM	SBBJ0010385	""N K MISHRA","  07412-230433""			",,,,,,,
"MADHYA PRADESH	UJJAIN	UJJAIN	""18  SHANKU MARG", FREEGANJ," UJJAIN-456001""	UJJAIN	SBBJ0010453	""S K PARIHAR","  0734-2524215""	0734-2514634		",,,,,,
"MAHARASHTRA	AHMADNAGAR	AGCL LINK OFFICE	""4TH FLOOR", TOWER NO 7, SBI HRMS DEPARTMENT,RAILWAY STATION BUILDING,"BELAPUR""	BELAPUR	SBBJ0011317	27565642	sbbj11317@sbbj.co.in		400003317",,,,,
"MAHARASHTRA	AHMADNAGAR	BELAPUR	""MONARCH PLAZA", PLOT NO. 56, SECTOR-11,CBD BELAPUR," NAVI MUMBAI""	BELAPUR	SBBJ0011190	9167487722			400003024",,,,,
"MAHARASHTRA	AURANGABAD	AURANGABAD	""SAI SQUARE", C.T.S. NO. 17354/2, OSMANPURA CIRCLE, STATION ROAD, AURANGABAD," PIN - 431001""	AURANGABAD	SBBJ0011184	7276144428	sbbj11184@sbbj.co.in		431003002",,,,
"MAHARASHTRA	GREATER BOMBAY	BORIVILI (WEST) Mumbai	V K Sharma ph: 28934076 Fax 28952291	MUMBAI	SBBJ0010433				",,,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	ANDHERI [WEST] Mumbai	S M Jain Ph: 26365411 Fax: 26365211	MUMBAI	SBBJ0010631				",,,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	Andheri East Mumbai	Mumbai	MUMBAI	SBBJ0010659	""Bilquees Apart-II"," Mahakali Cave Road- Andheri(E)""	M P Khandelwal Tel: 28366873 Fax: 28328378		",,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	COMMERCIAL NETWORK BRANCH Mumbai	""R Chandrashekha ","  TeL: 22625023 Fax:22651324""	MUMBAI	SBBJ0010717				",,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	D N Road Mumbai	Mumbai	MUMBAI	SBBJ0010279	""Peninsula House", Dr D N Road, Fort," Mumbai""	D N Sharma Tel: 28994733 Fax:22630622		",,,,,,
"MAHARASHTRA	GREATER BOMBAY	MUMBAI BHANDUP East	S C Dwivedi ph: 25615938	MUMBAI	SBBJ0010734				",,,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	MUMBAI DANA BUNDER	NL Shrama Ph: 23427020 Fax: 2340 1944	MUMBAI	SBBJ0010278				",,,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	MUMBAI GHATKOPER	S K Gupta ph: 28798144	MUMBAI	SBBJ0010561				",,,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	MUMBAI GOREGAON	H Mshriyan ph: 28798144 Fax: 28784888	MUMBAI	SBBJ0010628				",,,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	MUMBAI KALBADEVI	""O L Purohit Tel : 22405518","22402609 Fax :22412063""	MUMBAI	SBBJ0010280				",,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	MUMBAI MALAD [WEST]	R K Bhatnagar ph: 28839127 : Fax:28803291	MUMBAI	SBBJ0010607				",,,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	MUMBAI MULUND	O P Goswami ph: 2561 6025 : Fax: 25603241	MUMBAI	SBBJ0010387				",,,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	RTGS DEDICATED ACCOUNT UNIT	""PLOT NO. 6", G- BLOCK, 7TH FLOOR, SBI LHO BUILDING, BANDRA KURLA COMPLEX, BANDRA EAST," MUMBAI-400051""	MUMBAI	SBBJ0010863	SHRI A. K. KALE	022-26445815		",,,
"MAHARASHTRA	GREATER BOMBAY	SIR P.M.ROAD Mumbai	Ms. Kumud Sharma ph: 22663189 Fax: 22660875	MUMBAI	SBBJ0010282				",,,,,,,,,
"MAHARASHTRA	GREATER BOMBAY	T& I Department	""Treasury and investment department", State Bank of Bikaner and Jaipur,239, P.D'mello road, near GPO, Fort ,"MUMBAI-1""	MUMBAI	SBBJ0010303	""Shri A K Kale (Chief Manager- RTGS)",Mobile - 9819861298,"email - treasuty@sbbj.co.in E-Mail         treasury@sbbj.co.in Phone         22651223/ 22674062""			",
"MAHARASHTRA	GREATER BOMBAY	Vashi	""Grohitam Building",Plot No. 14B, Opposite APMC Grain Market. Sector 19, Vashi," Navi Mumbai - 400703""	MUMBAI	SBBJ0010799	Ms Yamini Nigam	022-27657327 / 27660525		",,,,,
"MAHARASHTRA	NAGPUR	MANISH NAGAR NAGPUR	""Balaji Arcade", Plot No.1 & 2 Popular Society, Manish Nagar," NAGPUR-440015 MAHARASHTRA""	NAGPUR	SBBJ0011216	0712-2709922	sbbj11216@sbbj.co.in		440003004",,,,,,
"MAHARASHTRA	NAGPUR	NAGPUR  GANDHI BAGH	""236  SHYAM BHAWAN", PANCHPOLI ROAD,  GANDHI BAGH," NAGPUR-440002""	NAGPUR	SBBJ0010284	""CHUNNILAL KHAITAN","  0712-2721758""	0712-2724722		",,,,,
"MAHARASHTRA	NAGPUR	NAGPUR KALMNA NAGAR	""SURYA NAGAR"," NAGPUR-440008""	NAGPUR	SBBJ0010776	""V D TAWDE","  0712-2682225""			",,,,,,,
"MAHARASHTRA	NASIK	MAHATMA NAGAR NASIK	""STATE BANK OF BIKANER & JAIPUR                       SHOWROOM NO.-2", RUSHIRAJ HEIGHTS,           MAHATMA NAGAR, NEAR WATER TANK,"              NASIK ( MAHARASHTRA) PIN-422001""	NASHIK	SBBJ0010943	0253-2360157			",,,,,
"MAHARASHTRA	PUNE	PUNE  LAXMI ROAD	""954  SADASHIV PETH", LAXMI ROAD," PUNE-411030""	PUNE	SBBJ0010439	""NISHI BHATNAGAR","  020-24454254""			",,,,,,
"MAHARASHTRA	PUNE	PUNE  PARVATI AREA	""587/4  SINHGAD ROAD", NEAR PARVATI FLYOVER BRIDGE," PUNE-411030""	PUNE	SBBJ0010526	""D C JAIN","  020-24224158""			",,,,,,
"MAHARASHTRA	RAIGAD	PANVEL	""NEEL ENCLAVE", PLOT NO. 1,SECTOR9,"KHANDA COLONY NEW PANVEL""	PANVEL	SBBJ0011185	7506176255			400003023",,,,,,
"MAHARASHTRA	THANE	BHAYANDER	""VENKATESH ORCHID",150 FEET ROAD,NEAR FLY OVER, BHAYANDER (W),"THANE""	MIRA-BHAYANDAR	SBBJ0011189	9167499106			400003022",,,,,
"MAHARASHTRA	THANE	LINK OFFICE	""PLOT NO 8",9,10, NEW ADMINISTRATIVE BUILDING, SECTOR 11, CBD," BELAPUR""	NEW BOMBAY	SBBJ0010364	022-27562175			",,,
"MAHARASHTRA	THANE	SHAHPUR	""454", MANGALMURTI APARTMENT, PANDIT NAKA, SANT TUKARAM MAHARAJ CHOWK, CHERPOLI, SHAHPUR," DIST THANE 421601""	SHAHAPUR	SBBJ0011133		02527-272666		400003021",,,
"MAHARASHTRA	THANE	THANE	""SURAJ HOUSE", NEXT TO HOTEL JAL JALA, OPPOSITE STEM OFFICE, NEAR MANAS ANAND, GHODBUNDER ROAD," THANE (W) -400 601""	THANE	SBBJ0010890	022-25862127			",,,,
"ODISHA	BALESHWAR	BERHAMPUR	""BRAHANAGAR  SQUARE",  NEW  BUS  STAND  ROAD,"  BERHAMPUR - 760001""	BERHAMPUR	SBBJ0010754	06810-2281110			",,,,,,,
"ODISHA	CUTTACK	CUTTACK	""BAJRAK ABATI ROAD"," CUTTUCK  -753001""	CUTTACK	SBBJ0010537	""BISWAJIT NANDI"," 0671-2415545""	0671-2419431		",,,,,,,
"ODISHA	KHURDA	BHUBANESWAR	""ORISSA CO-OPERATIVE HOUSING CORPN.", NEAR RAM MANDIR, 1ST FLOOR, BLOCK 2ND, JANPATH," BHUBANESWAR""	BHUBANESWAR	SBBJ0010864	""S K SINGH","  0674 -2501948""	0674 - 2522818		",,,
"PUNJAB	AMRITSAR	AMRITSAR	""4  M.M. MALVIA ROAD", OLD LAURENCE ROAD," AMRITSAR-143001""	AMRITSAR	SBBJ0010019	""KARAMJEET SINGH"," 0183-2563989""	0183-2566102		",,,,,,
"PUNJAB	BATHINDA	BHATINDA	""OLD SATTA BAZAR"," BHATINDA PUNJAB 151005""	BATHINDA	SBBJ0010412	""R K BHATEJA","TEL-0164-2238284""			",,,,,,,
"PUNJAB	FATEHGARH SAHIB	MANDI GOBINDGARH	""MANDI GOBINDGARH"," DISTT. FATEHGARH SAHIB-147301""	GOBIND GARH	SBBJ0010775	""B B JAIN"," 01765-2558076""			",,,,,,,
"PUNJAB	FEROZPUR	ABOHAR	""NEAR RAILWAY GATE"," ABOHAR.-152116""	ABOHAR	SBBJ0010018	""V K VASUDEV"," 01634-221014""	01634-220532		",,,,,,,
"PUNJAB	JALANDHAR	""COOL ROAD"," JALANDHAR""	""75", GURJEPAL NAGAR," JALANDHAR 144001""	JALANDHAR	SBBJ0011172	""0181-2227919"," 2457919""			144003002",,,,,
"PUNJAB	JALANDHAR	JULLUNDUR CITY	""238/5  ADDABASTI ROAD"," JULLUNDHUR -144001""	JALANDHAR	SBBJ0010378	""K S CHHABARA"," 0181-2402968""	0181-2402958		",,,,,,,
"PUNJAB	LUDHIANA	KHANNA	""6", PUREWAL TOWER, NEAR SAMRALA CHOWK," KHANNA""	KHANNA	SBBJ0010896	9815967028			",,,,,,
"PUNJAB	LUDHIANA	LUDHIANA  DANDI SWAMI CHOWK	""801/7 LOOMBA STREET", DANDI SWAIN CHOWK," LUDHIANA-141001""	LUDHIANA	SBBJ0010596	""SUSHIL KUMAR"," 0161-2425281""			",,,,,,
"PUNJAB	LUDHIANA	LUDHIANA MADHOPURI CHOWK	""MADHOPURI CHOWK"," LUDHIANA-141008""	LUDHIANA	SBBJ0010020	""S K MADAN"," 0161-2700185""	0161-2700237		",,,,,,,
"PUNJAB	LUDHIANA	LUDHIANA SSI	""OPP. MILITARY CAMP",  NR. G.T. ROAD,"  LUDHIANA -141003""	LUDHIANA	SBBJ0010839	""S.P. DHAMIJA","  0161-2533277""	0161--2533876		",,,,,,
"PUNJAB	LUDHIANA	SAHNEWAL	""WARD NO. 11", DELHON ROAD, NEAR GURU GOBIND SINGH MARG GATE, (SAHNEWAL CHOWK)," SAHNEWAL""	SAHNEWAL	SBBJ0011243	1612847108			141003005",,,,,
"PUNJAB	PATIALA	ZIRAKPUR	""S.C.F. 11-12", ROYALE PAAM, BLOCK C, VIP ROAD, ZIRAKPUR," DISTT. MOHALI (PUNJAB)""	ZIRAKPUR	SBBJ0011114		9463479927		160003004",,,,
"PUNJAB	RUPNAGAR	KHARAR	""CHANDIGARH ROAD", OPPOSITE WATER TANK," KHARAR""	KHARAR	SBBJ0011257	1602286095			160003005",,,,,,,
"PUNJAB	RUPNAGAR	MOHALI	""SCO 4&5 PHASE 11",  SAS NAGAR," MOHALI""	SAS NAGAR(MOHALI)	SBBJ0010859	""KAPIL KUMAR GUPTA"," 0172-2234600""			",,,,,,
"PUNJAB	RUPNAGAR	MULLANPUR GARIBDASS	Main Road Mullanpur Garibdass	MULLANPUR GARIBADAS	SBBJ0011322	2255055	sbbj11322@sbbj.co.in		160003007",,,,,,,,,
"RAJASTHAN	AJMER	AJMER VAISHALI NAGAR	""PLOT NO. 14", ASHOK VIHAR COLONY, BEHIND HOTEL MANSINGH, OPP. SHANTIPURA," VASHALI NAGAR MAIN ROAD""	AJMER	SBBJ0010898	5131000			",,,,,
"RAJASTHAN	AJMER	""AJMER"," STATION ROAD""	STATION ROAD AJMER 305001	AJMER	SBBJ0010104	G M RELWANI 0145-2432080 2429646			",,,,,,,,
"RAJASTHAN	AJMER	ARAIN	""STATE BANK OF BIKANER AND JAIPUR", POWER HOUSE CHOURAHA, VILL-ARAIN, VIA-KISHANGARH," DISTT-AJMER  PIN CODE-305813""	ARAIN	SBBJ0011019	01463-281101			",,,,,
"RAJASTHAN	AJMER	BEAWAR	""HEMLANI  MARKET",  BEAWAR,"   DISTT.   AJMER - 305901""	BEAWAR	SBBJ0010106	""01462-257304"," 258606""			",,,,,,
"RAJASTHAN	AJMER	BHUDOL	""POST - GAGWANA","  DISTT.   AJMER - 305006""	BHUDOL	SBBJ0010586	0145-2787448			",,,,,,,,
"RAJASTHAN	AJMER	BIJAINAGAR	DISTT.   AJMER - 305624	BIJAINAGAR	SBBJ0010739	""01462-231406"," 230506""			",,,,,,,,
"RAJASTHAN	AJMER	""CHANDERVARDAI"," AJMER""	""SBBJ CHANDERVARDAI", PLOT NO. 1, KHEL MAIDAN KE SAMNE, CHANDERVARDAI NAGAR, DISTT.- AJMER," RAJ-305002""	AJMER	SBBJ0011089		0145-2692779		305 003 004",,,
"RAJASTHAN	AJMER	""DARGAH BAZAR","  AJMER""	""DARGAH  BAZAR","  AJMER - 305002""	AJMER	SBBJ0010362	""0145-2429210"," 2423082""			",,,,,,
"RAJASTHAN	AJMER	DHASOOK	""VIA -  ARAI",  DISTT.   AJMER,"  RAJASTHAN""	DHASOOK	SBBJ0010576	01463-286228			",,,,,,,
"RAJASTHAN	AJMER	DHOLA BHATA	""SBBJ DHOLA BHATA", NEAR BSNL EXCHANGE, MAIN CHAURAHA, DHOLA BHATA, DISTT.- AJMER," RAJ-305001""	JAIPUR	SBBJ0011061	0145-2626867			305003003",,,,
"RAJASTHAN	AJMER	""DIGGI  CHOWK","  AJMER""	""DIGGI  CHOWK","  AJMER - 305001""	AJMER	SBBJ0010588	""0145-2425018"," 2429512""			",,,,,,
"RAJASTHAN	AJMER	""IND.  AREA","  KISHANGARH""	DISTT.   AJMER - 305801	KISHANGARH	SBBJ0010746	""01463-251773",250737," 251767""			",,,,,,
"RAJASTHAN	AJMER	KEKRI	DISTT.  AJMER - 305404	KEKRI	SBBJ0010108	""01467-220639",220012," 221940""			",,,,,,,
"RAJASTHAN	AJMER	KISHANGARH CITY	""OLD  KACHERY  ROAD",  KISHANGARH  CITY,"  DISTT.   AJMER - 305802""	KISHANGARH	SBBJ0010377	""01463-239446"," 246976""			",,,,,,
"RAJASTHAN	AJMER	""KISHANGARH"," MADANGANJ""	MADANGANJ KISHANGARH 305801	KISHANGARH	SBBJ0010107	S.S.SUTHAR 01463-512006			",,,,,,,,
"RAJASTHAN	AJMER	KOTDA	""PANCHAYAT SAMITI BHAWAN", BDO OFFICE CAMPUS," KOTDA""	KOTRA	SBBJ0010900	282024			",,,,,,,
"RAJASTHAN	AJMER	""MAKHUPURA IND.ESTATE","  AJMER""	""MAKHUPURA","  AJMER - 305002""	AJMER	SBBJ0010105	""0145-2683115",2441392," 2441090""			",,,,,
"RAJASTHAN	AJMER	MDS UNIVERSITY AJMER	""STATE BANK OF BIKANER & JAIPUR                       MDS UNIVERSITY", CHANKYA BHAWAN PREMISES,"   AJMER-305 009""	AJMER	SBBJ0010942	0145-2788221	9413398617		",,,,,,,
"RAJASTHAN	AJMER	""NAKA MADAR","  AJMER""	""NAKA  MADAR","  AJMER - 305001""	AJMER	SBBJ0010719	""0145-2670116"," 2670158""			",,,,,,
"RAJASTHAN	AJMER	NASIRABAD	61 A MAIN MARKET NASIRABAD 305601	NASIRABAD	SBBJ0010109	LUXMINARAYAN 01491-220060 221561			",,,,,,,,,
"RAJASTHAN	AJMER	PANCHSHEEL NAGAR AJMER	""State Bank of Bikaner & Jaipur",,,,,,,,,
Commercial Plot No.B-8,,,,,,,,,
B Block,,,,,,,,,
Makadwali Main Road,,,,,,,,,
Panchseel Nagar," Ajmer-305001""	AJMER	SBBJ0011274	9413398668			305003005",,,,,,,,
"RAJASTHAN	AJMER	PICHOLIYA	""NEAR BUS STAND", PICHOLIYA," TEHSIL PISANGAN DISTT. AJMER -305022""	PISANGAN	SBBJ0011043	01452-778259			305003943",,,,,,,
"RAJASTHAN	AJMER	PISANGAN	""DIST - AJMER","   RAJASTHAN""	PISANGAN	SBBJ0010862				",,,,,,,,
"RAJASTHAN	AJMER	PUSHKAR	DISTT.  AJMER - 305022	PUSHKAR	SBBJ0010602	0145-2772006			",,,,,,,,,
"RAJASTHAN	AJMER	ROOPANGARH	""NEAR BUS STAND", ROOPANGARH, DISTT-AJMER," PIN CODE- 305814""	ROOPNAGAR	SBBJ0011008	""SH.V.D.KALAN    9413398600"," 01497-220042""			",,,,,
"RAJASTHAN	AJMER	SARWAR	DISTT.  AJMER - 305403	SARWAR	SBBJ0010110	""01496-230032"," 230012""			",,,,,,,,
"RAJASTHAN	AJMER	SATPULIA BEAWAR	""State Bank of Bikaner & Jaipur",,,,,,,,,
Satpulia, Opposite Shree Hotel, Ajmer Road,,,,,,,
"Beawar-305901""	BEAWAR	SBBJ0011275	9414530225			305003006",,,,,,,,,
"RAJASTHAN	AJMER	SAWAR	""NEAR BUS STAND", POST SAWAR, TEHSIL KEKRI," DISTT. AJMER - 305407""	SAWAR	SBBJ0011063	01467-282710			305003501",,,,,,
"RAJASTHAN	AJMER	SBBJ DEOLIYA KALAN	""State Bank Of Bikaner & Jaipur  Deoliyakalan Branch (11187) ", Near Bus Stand, Main Road Deoliyakalan,Tehsil - Bhinay, Distt.- Ajmer," Rajasthan-305624""	DEOLIA KALAN	SBBJ0011187	01466-271033			305003535",,,,
"RAJASTHAN	AJMER	SBBJ MASUDA	""SBBJ MASUDA", OUT SIDE AJMERI GATE, NEAR BUS STAND, MASUDA, DISTT.- AJMER," RAJ-305624""	MASUDA	SBBJ0011175	01462-266009			305003747",,,,
"RAJASTHAN	AJMER	""SHASTRI NAGAR","  AJMER""	""SHASTRI  NAGAR","  AJMER - 305001""	AJMER	SBBJ0010487	""0145-2627628"," 2627675""			",,,,,,
"RAJASTHAN	AJMER	SRINAGAR	DISTT.  AJMER - 305025	SRINAGAR	SBBJ0010330	""01491-246232"," 246231""			",,,,,,,,
"RAJASTHAN	AJMER	TIHARI	""TIHARI",  SRINAGAR,"  DISTT.   AJMER - 305025""	TIHARI	SBBJ0010571	01491-289210			",,,,,,,
"RAJASTHAN	ALWAR	AKBARPUR	DISTT.  ALWAR - 301031	AKBARPUR	SBBJ0010456	0144-2885203			",,,,,,,,,
"RAJASTHAN	ALWAR	ALWAR	""GOPAL BUILDING", NEAR BUS STAND," ALWAR-301001""	ALWAR	SBBJ0010051	""R C GUPTA"," 0144-2331995""	0144-2346783		",,,,,,
"RAJASTHAN	ALWAR	ALWAR  ADB	""NAGLI - KA - CHOURAHA","  ALWAR - 301001""	ALWAR	SBBJ0010333	0144-2337776			",,,,,,,,
"RAJASTHAN	ALWAR	ALWAR  K U M	DISTT.  ALWAR - 301001	ALWAR	SBBJ0010764	""0144-237866",370066," 372606""			",,,,,,,
"RAJASTHAN	ALWAR	ALWAR  M.I.A	""MATSAY  INDUSTRIAL  AREA","  ALWAR - 301001""	ALWAR	SBBJ0010558	0144-2881380			",,,,,,,,
"RAJASTHAN	ALWAR	BANSUR	DISTT.  ALWAR - 301402	BANSUR	SBBJ0010054	01461-220226			",,,,,,,,,
"RAJASTHAN	ALWAR	BARODAMEO	""ALWAR-BHARATPUR ROAD"," BARODAMEO. DISTT. ALWAR. RAJASTHAN 301021""	BARODA MEO	SBBJ0011152	9549140777			301003066",,,,,,,,
"RAJASTHAN	ALWAR	BEHROR	DISTT.  ALWAR - 301706	BEHROR	SBBJ0010055	01494-230031			",,,,,,,,,
"RAJASTHAN	ALWAR	BHIWADI IND.ESTATE	""BHIWADI"," DISTT. ALWAR-301019""	BHIWADI	SBBJ0010465	""B L MEENA"," 01493-220802""	01493-222822		",,,,,,,
"RAJASTHAN	ALWAR	GHEELOTH	""GHEELOTH"," TEHSHIL NEEMRANA""	NEEMRANA	SBBJ0011239	9414484795	sbbj11239@sbbj.co.in		301003201",,,,,,,,
"RAJASTHAN	ALWAR	GOVINDGARH	DISTT.  ALWAR - 321604	GOVINDGARH	SBBJ0010056	01492-277049			",,,,,,,,,
"RAJASTHAN	ALWAR	JHIRI	""TEHSIL  THANAGAJI","  DISTT.   ALWAR - 301027""	JHIRI	SBBJ0010694	01465-229055			",,,,,,,,
"RAJASTHAN	ALWAR	KHAIRTHAL	""DISTT.  ALWAR","  RAJASTHAN""	KHAIRTHAL	SBBJ0010745	01460-222510			",,,,,,,,
"RAJASTHAN	ALWAR	KHERLI	""KATHUMAR  ROAD",  DISTT.  ALWAR,"  RAJASTHAN""	KHERLI	SBBJ0010782	01492-220945			",,,,,,,
"RAJASTHAN	ALWAR	KHOH	""VIA -  RONIJATHAN","  DISTT.   ALWAR - 301035""	KHOH	SBBJ0010536	01492-235225			",,,,,,,,
"RAJASTHAN	ALWAR	KHOH DARIBA	DISTT.  ALWAR - 301029	KHOH	SBBJ0010422	01464-245018			",,,,,,,,,
"RAJASTHAN	ALWAR	KHUSHKHERA	""OPPOSITE SHREE CEMENT", KHUSHKHERA, TESHIL TIJAR, DISTT ALWAR," RAJASTHAN PIN- 301707""	TAPOKDA	SBBJ0011266	1593250111			301003202",,,,,
"RAJASTHAN	ALWAR	KISHANGARH BAS	DISTT.  ALWAR - 301405	KISHANGARHBHAS	SBBJ0010057	""01460-517190"," 242031""			",,,,,,,,
"RAJASTHAN	ALWAR	KOT KASIM	""OPP.POLICE STATION KOT KASIM"," DISTT. ALWAR RAJASTHAN""	KOT KASIM	SBBJ0011103		01274-235200		301003101",,,,,,,,
"RAJASTHAN	ALWAR	KOTHI NARAINPUR	""KOTHI NARAINPUR", TEHSIL RAJGARH, DISTT. ALWAR," RAJASTHAN-301408""	RAJGARH	SBBJ0011312	9413396128	sbbj11312@sbbj.co.in		301003102",,,,,,
"RAJASTHAN	ALWAR	LACHHMANGARH	DISTT.  ALWAR - 321607	LACHHMANGARH	SBBJ0010058	01492-233027			",,,,,,,,,
"RAJASTHAN	ALWAR	MALAKHERA	DISTT.  ALWAR - 301406	MALAKHERA	SBBJ0010296	""0144-2764235"," 884235""			",,,,,,,,
"RAJASTHAN	ALWAR	MALVIYA NAGAR BHAWANI TOP ALWAR	""WONDER HEIGHT MALL", MALVIYA NAGAR BHAWANI TOP," ALWAR 301001""	ALWAR	SBBJ0011291	144 9413396227			301003003",,,,,,,
"RAJASTHAN	ALWAR	MANDAWAR	DISTT.  ALWAR - 301407	MANDAWAR	SBBJ0010059	01495-220003			",,,,,,,,,
"RAJASTHAN	ALWAR	MANDHAN	DISTT.  ALWAR - 301704	MANDAN	SBBJ0010464	01494-244023			",,,,,,,,,
"RAJASTHAN	ALWAR	""NAOGAON"," DISTT. ALWAR""	""VILLAGE NAOGAON", THE. RAMGARH, DISTT. ALWAR," RAJASTHAN - 301025""	ALWAR	SBBJ0011135	9549030888			301003505",,,,,
"RAJASTHAN	ALWAR	NEEMRANA  IND.  AREA	""DISTT.  ALWAR","  RAJASTHAN""	NEEMRANA	SBBJ0010796	""D.P.CHAUHAN"," 01494-517280""			",,,,,,,
"RAJASTHAN	ALWAR	PARTAPGARH	DISTT.  ALWAR - 301027	PARTAPGARH	SBBJ0010457	01465-229022			",,,,,,,,,
"RAJASTHAN	ALWAR	RAJGARH	""GOL  MARKET",  RAJGARH,"  ALWAR - 301408""	RAJGARH	SBBJ0010053	""A.K.JOSHI"," 01464-220355""			",,,,,,
"RAJASTHAN	ALWAR	RAMGARH	""OPP. PETROL PUMP", THE. RAMGARH," DISTT. ALWAR""	RAMGARH	SBBJ0011104		01468-231102		301003065",,,,,,,
"RAJASTHAN	ALWAR	RAMPUR	DISTT.   ALWAR - 301402	RAMPUR	SBBJ0010354	01461-245026			",,,,,,,,,
"RAJASTHAN	ALWAR	SHAHJAHANPUR	DISTT.  ALWAR - 301706	SHAHAJANPUR	SBBJ0010759	01494-235202			",,,,,,,,,
"RAJASTHAN	ALWAR	SHAHPUR DELAWARPUR	""ALWAR BEHROR ROAD", BUS STAND SHAHPUR, SHAHPUR," PIN-301023""	SHAHPUR	SBBJ0011340	0144 2767222			301003103",,,,,,
"RAJASTHAN	ALWAR	""SPECIALISED PERSONAL BANKING BRANCH"," BHIWADI""	""A-8", BHAGAT SINGH COLONY, ALWAR BY PASS ROAD," BHIWADI""	BHIWADI	SBBJ0011045	8107830100			",,,,,
"RAJASTHAN	ALWAR	""STATION  ROAD","  RAJGARH""	DISTT.   ALWAR - 301408	RAJGARH	SBBJ0010747	01464-220350			",,,,,,,,
"RAJASTHAN	ALWAR	TAPUKDA	DISTT.   ALWAR - 301707	TAPOKDA	SBBJ0010787	01493-243250			",,,,,,,,,
"RAJASTHAN	ALWAR	THANAGAZI	DISTT.  ALWAR - 301022	THANAGAZI	SBBJ0010060	""01465-224231"," 224230""			",,,,,,,,
"RAJASTHAN	ALWAR	TIJARA	DISTT.  ALWAR - 301411	TIJARA	SBBJ0010061	""01469-262029"," 262210""			",,,,,,,,
"RAJASTHAN	BANSWARA	""AZAD CHOWK","  BANSWARA""	""AZAD  CHOWK","  BANSWARA - 327001""	BANSWARA	SBBJ0010805	02962-245920			",,,,,,,
"RAJASTHAN	BANSWARA	BAGIDORA	DISTT.  BANSWARA - 327601	BAGIDERA	SBBJ0010232	02968-220027			",,,,,,,,,
"RAJASTHAN	BANSWARA	BANSWARA	""NEW  CLOTH  MARKET","  BANSWARA - 327001""	BANSWARA	SBBJ0010231	""02962-246281 ",243024," 240536""			",,,,,,
"RAJASTHAN	BANSWARA	BARODIA	""TEHSIL  BAGIDORA","  DISTT.   BANSWARA - 327604""	BARODIYA	SBBJ0010411	02968-240021			",,,,,,,,
"RAJASTHAN	BANSWARA	BHUNGRA	DISTT.  BANSWARA - 327001	BHUNGRA	SBBJ0010582	02962-278108			",,,,,,,,,
"RAJASTHAN	BANSWARA	CHANDERWARA	DISTT.  BANSWARA - 327001	CHANDANWARA	SBBJ0010601	02962-232876			",,,,,,,,,
"RAJASTHAN	BANSWARA	DANPUR	""GHODITEJPUR CHOURAHA", PLAZA,BHUPLASAGAR  BANSWARA RATLAM ROAD,"  DANPUR                         DISTT-BANSWARA(RAJ.)               PIN-327001""	DANPUR	SBBJ0011173	""08226002870 "," 09425927311""			327003202",,,,,
"RAJASTHAN	BANSWARA	GANODA	DISTT.   BANSWARA - 327021	GANODA	SBBJ0010621	""02963-232884 "," 276214""			",,,,,,,,
"RAJASTHAN	BANSWARA	GHANTOL	DISTT.  BANSWARA - 327023	GHANTOL	SBBJ0010235	02961-220128			",,,,,,,,,
"RAJASTHAN	BANSWARA	KHAMERA	DISTT.  BANSWARA - 327027	KHAMERA	SBBJ0010581	02961-220154			",,,,,,,,,
"RAJASTHAN	BANSWARA	KUSHALGARH	DISTT.  BANSWARA - 327801	KUSHALGARH	SBBJ0010233	02965-255235			",,,,,,,,,
